Date,Hour,Stops,Price
03/02/2023,07:20,Direto,2393.53
03/02/2023,10:05,Direto,2393.53
03/02/2023,12:40,Direto,2393.53
03/02/2023,16:40,Direto,2393.53
03/02/2023,18:10,Direto,2393.53
03/02/2023,19:30,Direto,2393.53
03/02/2023,20:25,Direto,2393.53
03/02/2023,06:05,1 parada,3028.63
03/02/2023,06:05,1 parada,3028.63
03/02/2023,06:25,1 parada,3028.63
03/02/2023,08:10,1 parada,3028.63
03/02/2023,10:10,1 parada,3028.63
03/02/2023,12:50,1 parada,3028.63
03/02/2023,13:10,1 parada,3028.63
03/02/2023,14:00,1 parada,3028.63
03/02/2023,14:00,1 parada,3028.63
03/02/2023,15:00,1 parada,3028.63
03/02/2023,16:00,1 parada,3028.63
03/02/2023,17:35,1 parada,3028.63
03/02/2023,07:55,1 parada,3028.63
08/02/2023,07:20,Direto,2186.53
08/02/2023,10:05,Direto,2186.53
08/02/2023,12:40,Direto,2186.53
08/02/2023,18:10,Direto,2186.53
08/02/2023,19:30,Direto,2186.53
08/02/2023,20:25,Direto,2186.53
10/02/2023,07:20,Direto,1749.53
10/02/2023,10:05,Direto,1749.53
10/02/2023,12:40,Direto,1749.53
10/02/2023,18:10,Direto,1749.53
10/02/2023,19:30,Direto,1749.53
10/02/2023,20:25,Direto,1749.53
15/02/2023,10:05,Direto,1330.53
15/02/2023,07:20,Direto,1749.53
15/02/2023,12:40,Direto,1330.53
15/02/2023,18:10,Direto,1330.53
15/02/2023,19:30,Direto,1330.53
15/02/2023,20:25,Direto,1330.53
17/02/2023,18:10,Direto,908.53
17/02/2023,07:20,Direto,2393.53
17/02/2023,19:30,Direto,908.53
17/02/2023,20:25,Direto,908.53
17/02/2023,10:05,Direto,3028.53
17/02/2023,12:40,Direto,3028.53
22/02/2023,07:20,Direto,1130.53
22/02/2023,10:05,Direto,1130.53
22/02/2023,12:40,Direto,1130.53
22/02/2023,18:10,Direto,1130.53
22/02/2023,19:30,Direto,1130.53
22/02/2023,20:25,Direto,1130.53
24/02/2023,18:10,Direto,224.53
24/02/2023,07:20,Direto,680.53
24/02/2023,19:30,Direto,224.53
24/02/2023,10:05,Direto,396.53
24/02/2023,16:40,Direto,396.53
24/02/2023,20:25,Direto,581.53
24/02/2023,12:40,Direto,680.53
01/03/2023,10:05,Direto,610.53
01/03/2023,12:40,Direto,610.53
01/03/2023,18:10,Direto,610.53
01/03/2023,19:30,Direto,610.53
01/03/2023,20:25,Direto,610.53
03/03/2023,07:15,Direto,396.53
03/03/2023,18:10,Direto,396.53
03/03/2023,19:30,Direto,396.53
03/03/2023,20:25,Direto,396.53
03/03/2023,12:40,Direto,480.53
03/03/2023,10:05,Direto,680.53
08/03/2023,10:05,Direto,396.53
08/03/2023,12:40,Direto,396.53
08/03/2023,18:10,Direto,396.53
08/03/2023,19:30,Direto,396.53
08/03/2023,20:25,Direto,396.53
10/03/2023,07:15,Direto,396.53
10/03/2023,10:05,Direto,396.53
10/03/2023,12:40,Direto,396.53
10/03/2023,18:10,Direto,396.53
10/03/2023,19:30,Direto,396.53
10/03/2023,20:25,Direto,396.53
15/03/2023,10:05,Direto,396.53
15/03/2023,07:15,Direto,480.53
15/03/2023,12:40,Direto,396.53
15/03/2023,16:40,Direto,396.53
15/03/2023,18:10,Direto,396.53
15/03/2023,19:30,Direto,396.53
15/03/2023,20:25,Direto,396.53
15/03/2023,06:00,1 parada,3028.63
15/03/2023,06:05,1 parada,3028.63
15/03/2023,06:05,1 parada,3028.63
15/03/2023,08:00,1 parada,3028.63
15/03/2023,10:00,1 parada,3028.63
15/03/2023,12:50,1 parada,3028.63
15/03/2023,12:55,1 parada,3028.63
15/03/2023,16:00,1 parada,3028.63
15/03/2023,17:35,1 parada,3028.63
15/03/2023,08:05,1 parada,3028.63
17/03/2023,07:15,Direto,396.53
17/03/2023,10:05,Direto,396.53
17/03/2023,18:10,Direto,396.53
17/03/2023,19:30,Direto,396.53
17/03/2023,20:25,Direto,396.53
17/03/2023,12:40,Direto,680.53
22/03/2023,10:05,Direto,396.53
22/03/2023,12:40,Direto,396.53
22/03/2023,18:10,Direto,396.53
22/03/2023,19:30,Direto,396.53
22/03/2023,20:25,Direto,396.53
24/03/2023,10:05,Direto,480.53
24/03/2023,07:15,Direto,1749.53
24/03/2023,20:25,Direto,680.53
24/03/2023,12:40,Direto,1130.53
24/03/2023,18:10,Direto,1749.53
24/03/2023,19:30,Direto,3028.53
29/03/2023,07:50,Direto,396.53
29/03/2023,09:10,Direto,396.53
29/03/2023,12:20,Direto,396.53
29/03/2023,15:55,Direto,396.53
29/03/2023,20:50,Direto,396.53
29/03/2023,15:15,Direto,480.53
29/03/2023,18:30,Direto,3028.53
31/03/2023,07:50,Direto,396.53
31/03/2023,09:10,Direto,396.53
31/03/2023,12:20,Direto,396.53
31/03/2023,15:55,Direto,396.53
31/03/2023,20:50,Direto,396.53
31/03/2023,15:15,Direto,680.53
31/03/2023,18:30,Direto,1330.53
05/04/2023,15:15,Direto,280.53
05/04/2023,07:50,Direto,680.53
05/04/2023,21:30,Direto,280.53
05/04/2023,09:10,Direto,330.53
05/04/2023,18:30,Direto,330.53
05/04/2023,12:20,Direto,396.53
05/04/2023,15:55,Direto,908.53
05/04/2023,06:30,1 parada,3028.63
05/04/2023,06:30,1 parada,3028.63
05/04/2023,07:35,1 parada,3028.63
05/04/2023,07:35,1 parada,3028.63
05/04/2023,07:45,1 parada,3028.63
05/04/2023,08:00,1 parada,3028.63
05/04/2023,08:05,1 parada,3028.63
05/04/2023,08:05,1 parada,3028.63
05/04/2023,12:40,1 parada,3028.63
05/04/2023,12:40,1 parada,3028.63
05/04/2023,12:50,1 parada,3028.63
05/04/2023,13:10,1 parada,3028.63
05/04/2023,13:10,1 parada,3028.63
05/04/2023,15:05,1 parada,3028.63
05/04/2023,17:35,1 parada,3028.63
05/04/2023,18:05,1 parada,3028.63
05/04/2023,23:00,1 parada,3028.63
07/04/2023,15:55,Direto,243.53
07/04/2023,07:50,Direto,908.53
07/04/2023,21:30,Direto,243.53
07/04/2023,15:15,Direto,280.53
07/04/2023,18:30,Direto,396.53
07/04/2023,09:10,Direto,480.53
07/04/2023,12:20,Direto,680.53
12/04/2023,09:10,Direto,243.53
12/04/2023,07:50,Direto,330.53
12/04/2023,15:55,Direto,243.53
12/04/2023,21:30,Direto,243.53
12/04/2023,12:20,Direto,280.53
12/04/2023,15:15,Direto,280.53
12/04/2023,18:30,Direto,680.53
12/04/2023,06:30,1 parada,3028.63
12/04/2023,06:30,1 parada,3028.63
12/04/2023,07:35,1 parada,3028.63
12/04/2023,07:35,1 parada,3028.63
12/04/2023,07:45,1 parada,3028.63
12/04/2023,08:00,1 parada,3028.63
12/04/2023,08:05,1 parada,3028.63
12/04/2023,08:05,1 parada,3028.63
12/04/2023,12:40,1 parada,3028.63
12/04/2023,12:40,1 parada,3028.63
12/04/2023,12:50,1 parada,3028.63
12/04/2023,13:10,1 parada,3028.63
12/04/2023,13:10,1 parada,3028.63
12/04/2023,15:05,1 parada,3028.63
12/04/2023,17:35,1 parada,3028.63
12/04/2023,18:05,1 parada,3028.63
12/04/2023,23:00,1 parada,3028.63
14/04/2023,12:20,Direto,243.53
14/04/2023,07:50,Direto,330.53
14/04/2023,15:15,Direto,243.53
14/04/2023,15:55,Direto,243.53
14/04/2023,21:30,Direto,243.53
14/04/2023,09:10,Direto,280.53
14/04/2023,18:30,Direto,330.53
19/04/2023,12:20,Direto,243.53
19/04/2023,07:50,Direto,908.53
19/04/2023,15:15,Direto,243.53
19/04/2023,15:55,Direto,243.53
19/04/2023,21:30,Direto,243.53
19/04/2023,09:10,Direto,680.53
19/04/2023,18:30,Direto,3028.53
